SOORT HO,PROVINCIE,BEVOEGD GEZAG NUMMER,INSTELLINGSCODE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,STRAATNAAM CORRESPONDENTIEADRES,HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES,POSTCODE CORRESPONDENTIEADRES,PLAATSNAAM CORRESPONDENTIEADRES,NODAAL GEBIED CODE,NODAAL GEBIED NAAM,RPA-GEBIED CODE,RPA-GEBIED NAAM,WGR-GEBIED CODE,WGR-GEBIED NAAM,COROPGEBIED CODE,COROPGEBIED NAAM,ONDERWIJSGEBIED CODE,ONDERWIJSGEBIED NAAM,RMC-REGIO CODE,RMC-REGIO NAAM
hbo,Zuid-Holland,60763,02NR,Hotelschool The Hague,Brusselselaan,2,2587 AH,'S-GRAVENHAGE,518,S GRAVENHAGE,Algemeen bijzonder,703512481,www.hotelschool.nl,Brusselselaan,2,2587 AH,'S-GRAVENHAGE,49,'s-Gravenhage,22,Haaglanden,28,Haaglanden,26,Agglomeratie 's-Gravenhage,16,Noord-Zuid-Holland,28,Haaglanden/Westland
wo,Gelderland,14,21PI,Wageningen University,Droevendaalsesteeg,4,6708 PB,WAGENINGEN,289,WAGENINGEN,Rijks,317480100,www.wur.nl,Postbus,9101,6700 HB,WAGENINGEN,29,Ede,10,De Vallei,16,Eem en Vallei,13,Veluwe,9,Arnhem en omstreken,16,Eem en Vallei
wo,Gelderland,30287,21QO,Theologische Universiteit Apeldoorn,Wilhelminapark,4,7316 BT,APELDOORN,200,APELDOORN,Protestants-Christelijk,555775700,www.tua.nl,Wilhelminapark,4,7316 BT,APELDOORN,27,Apeldoorn,9,Stedendriehoek,11,Stedendriehoek,13,Veluwe,7,Apeldoorn en midden-IJsselgebied,11,Stedendriehoek
wo,Gelderland,75805,21PM,Radboud Universiteit Nijmegen,Houtlaan,4,6525 XZ,NIJMEGEN,268,NIJMEGEN,Algemeen bijzonder,243616161,www.ru.nl,Postbus,9102,6500 HC,NIJMEGEN,30,Nijmegen,13,Nijmegen,14,Arnhem/Nijmegen,15,Arnhem/Nijmegen,11,Oostelijk Maas-Waalgebied,40,Rijk van Nijmegen
wo,Groningen,8,21PC,Rijksuniversiteit Groningen,Broerstraat,05/Jul,9712 CP,GRONINGEN,14,GRONINGEN,Rijks,503639111,www.rug.nl/,Postbus,72,9700 AB,GRONINGEN,1,Groningen,3,Centraal-Groningen,3,Centraal en westelijk Groningen,3,Overig Groningen,1,Groningen en omstreken,3,Centraal en Westelijk Groningen
wo,Limburg,20280,21PJ,Universiteit Maastricht,Minderbroedersberg,04/Jun,6211 LK,MAASTRICHT,935,MAASTRICHT,Rijks,433882222,www.maastrichtuniversity.nl,Postbus,616,6200 MD,MAASTRICHT,80,Maastricht,34,Maastricht Mergelland,42,Maastricht en Mergelland,39,Zuid-Limburg,25,Zuid-Limburg,39,Gewest Zuid-Limburg
wo,Limburg,30720,22NC,Open Universiteit,Valkenburgerweg,177,6419 AT,HEERLEN,917,HEERLEN,Algemeen bijzonder,455762222,www.ou.nl/,Postbus,2960,6401 DL,HEERLEN,79,Heerlen,33,Parkstad Limburg,41,Oostelijk Zuid-Limburg,39,Zuid-Limburg,25,Zuid-Limburg,39,Gewest Zuid-Limburg
wo,Noord-Brabant,12,21PG,Technische Universiteit Eindhoven,Den Dolech,2,5612 AZ,EINDHOVEN,772,EINDHOVEN,Rijks,402479111,www.tue.nl/,Postbus,513,5600 MB,EINDHOVEN,70,Eindhoven,28,Zuidoost-Brabant,37,Zuidoost-Brabant,36,Zuidoost-Noord-Brabant,22,Zuidoost-Noord-Brabant,37,Zuidoost-Brabant
wo,Noord-Brabant,75571,21PN,Tilburg University,Warandelaan,2,5037 AB,TILBURG,855,TILBURG,Algemeen bijzonder,134669111,www.uvt.nl,Postbus,90153,5000 LE,TILBURG,68,Tilburg,26,Midden-Brabant,35,Midden-Brabant,34,Midden-Noord-Brabant,21,Tilburg en omstreken,35,Midden-Brabant
wo,Noord-Holland,20045,00DV,Protestantse Theologische Universiteit,De Boelelaan,1105,1081 HV,AMSTERDAM,363,AMSTERDAM,Protestants-Christelijk,883371610,www.pthu.nl,Postbus,7161,1007 MC,AMSTERDAM,44,Amsterdam,20,Zuidelijk Noord-Holland,21,Agglomeratie Amsterdam,23,Groot-Amsterdam,15,Zuid-Noord-Holland,21,Agglomeratie Amsterdam
wo,Noord-Holland,22222,21PK,Universiteit van Amsterdam,Spui,21,1012 WX,AMSTERDAM,363,AMSTERDAM,Openbaar,205252704,www.uva.nl,Postbus,19268,1000 GG,AMSTERDAM,44,Amsterdam,20,Zuidelijk Noord-Holland,21,Agglomeratie Amsterdam,23,Groot-Amsterdam,15,Zuid-Noord-Holland,21,Agglomeratie Amsterdam
wo,Noord-Holland,75792,21PL,Vrije Universiteit Amsterdam,De Boelelaan,1105,1081 HV,AMSTERDAM,363,AMSTERDAM,Algemeen bijzonder,205989898,www.vu.nl,De Boelelaan,1105,1081 HV,AMSTERDAM,44,Amsterdam,20,Zuidelijk Noord-Holland,21,Agglomeratie Amsterdam,23,Groot-Amsterdam,15,Zuid-Noord-Holland,21,Agglomeratie Amsterdam
wo,Overijssel,13,21PH,Universiteit Twente,Drienerlolaan,5,7522 NB,ENSCHEDE,153,ENSCHEDE,Rijks,534899111,www.utwente.nl,Postbus,217,7500 AE,ENSCHEDE,22,Enschede,7,Twente,12,Twente,12,Twente,6,Twente,12,Twente
wo,Utrecht,9,21PD,Universiteit Utrecht,Heidelberglaan,8,3584 CS,UTRECHT,344,UTRECHT,Rijks,302533550,www.uu.nl,Postbus,80125,3508 TC,UTRECHT,36,Utrecht,18,Utrecht-Midden,19,Utrecht,17,Utrecht,13,Utrecht en omstreken,19,Utrecht
wo,Utrecht,30816,23BF,Universiteit voor Humanistiek,Kromme Nieuwegracht,29,3512 HD,UTRECHT,344,UTRECHT,Algemeen bijzonder,302390100,www.uvh.nl,Postbus,797,3500 AT,UTRECHT,36,Utrecht,18,Utrecht-Midden,19,Utrecht,17,Utrecht,13,Utrecht en omstreken,19,Utrecht
wo,Utrecht,39800,25AV,Theologische Universiteit van de Nederlandse Gereformeerde Kerken in Nederland,Plompetorengracht,3,3512 CA,UTRECHT,344,UTRECHT,Algemeen bijzonder,853410200,www.tuu.nl,Plompetorengracht,3,3512 CA,UTRECHT,36,Utrecht,18,Utrecht-Midden,19,Utrecht,17,Utrecht,13,Utrecht en omstreken,19,Utrecht
wo,Zuid-Holland,10,21PE,Erasmus Universiteit Rotterdam,Burgemeester Oudlaan,50,3062 PA,ROTTERDAM,599,ROTTERDAM,Rijks,104081730,www.eur.nl,Postbus,1738,3000 DR,ROTTERDAM,54,Rotterdam,23,Rijnmond,29,Rijnmond,29,Groot-Rijnmond,17,Rijnmond groot,29,Rijnmond
wo,Zuid-Holland,11,21PF,Technische Universiteit Delft,Prometheusplein,1,2628 ZC,DELFT,503,DELFT,Rijks,152789111,www.tudelft.nl,Postbus,5,2600 AA,DELFT,50,Delft,22,Haaglanden,28,Haaglanden,27,Delft en Westland,16,Noord-Zuid-Holland,28,Haaglanden/Westland
wo,Zuid-Holland,39,21PB,Universiteit Leiden,Rapenburg,70,2311 EZ,LEIDEN,546,LEIDEN,Rijks,715272727,www.leidenuniv.nl,Postbus,9500,2300 RA,LEIDEN,46,Leiden,21,Rijn-Gouwe,26,Zuid-Holland-Noord,25,Agglomeratie Leiden en Bollenstreek,16,Noord-Zuid-Holland,26,Zuid-Holland-Noord
