SOORT HO,PROVINCIE,BEVOEGD GEZAG NUMMER,INSTELLINGSCODE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,STRAATNAAM CORRESPONDENTIEADRES,HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES,POSTCODE CORRESPONDENTIEADRES,PLAATSNAAM CORRESPONDENTIEADRES,NODAAL GEBIED CODE,NODAAL GEBIED NAAM,RPA-GEBIED CODE,RPA-GEBIED NAAM,WGR-GEBIED CODE,WGR-GEBIED NAAM,COROPGEBIED CODE,COROPGEBIED NAAM,ONDERWIJSGEBIED CODE,ONDERWIJSGEBIED NAAM,RMC-REGIO CODE,RMC-REGIO NAAM,address,location,latitude,longitude
hbo,Noord-Brabant,50338,08OK,Pedagogische Hogeschool De Kempel,Deurneseweg,11,5709 AH,HELMOND,794.0,HELMOND,Rooms-Katholiek,492514400.0,www.kempel.nl,Deurneseweg,11.0,5709 AH,HELMOND,74.0,Helmond,28.0,Zuidoost-Brabant,37.0,Zuidoost-Brabant,36.0,Zuidoost-Noord-Brabant,22.0,Zuidoost-Noord-Brabant,37.0,Zuidoost-Brabant,"{'street': 'Deurneseweg', 'postalcode': '5709 AH', 'city': 'HELMOND', 'country': 'Netherlands'}","Deurneseweg, Brouwhuis, Helmond, Noord-Brabant, Nederland, 5709 AH, Nederland",51.4710211,5.7105519
hbo,Noord-Brabant,60802,02NT,Design Academy Eindhoven,Emmasingel,14,5611 AZ,EINDHOVEN,772.0,EINDHOVEN,Algemeen bijzonder,402393939.0,www.designacademy.nl/,Postbus,2125.0,5600 CC,EINDHOVEN,70.0,Eindhoven,28.0,Zuidoost-Brabant,37.0,Zuidoost-Brabant,36.0,Zuidoost-Noord-Brabant,22.0,Zuidoost-Noord-Brabant,37.0,Zuidoost-Brabant,"{'street': 'Emmasingel', 'postalcode': '5611 AZ', 'city': 'EINDHOVEN', 'country': 'Netherlands'}","Emmasingel, Bergen, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 HA, Nederland",51.4384366,5.4749278
hbo,Noord-Holland,29615,02BY,Gerrit Rietveld Academie,Fred. Roeskestraat,96,1076 ED,AMSTERDAM,363.0,AMSTERDAM,Algemeen bijzonder,205711600.0,www.rietveldacademie.nl,Fred. Roeskestraat,96.0,1076 ED,AMSTERDAM,44.0,Amsterdam,20.0,Zuidelijk Noord-Holland,21.0,Agglomeratie Amsterdam,23.0,Groot-Amsterdam,15.0,Zuid-Noord-Holland,21.0,Agglomeratie Amsterdam,"{'street': 'Fred. Roeskestraat', 'postalcode': '1076 ED', 'city': 'AMSTERDAM', 'country': 'Netherlands'}","Fred. Roeskestraat, Zuidas, Zuid, Amsterdam, Noord-Holland, Nederland, 1076 ED, Nederland",52.341129,4.8623836
hbo,Noord-Holland,30274,21QA,Amsterdamse Hogeschool voor de Kunsten,Jodenbreestraat,3,1011 NG,AMSTERDAM,363.0,AMSTERDAM,Algemeen bijzonder,205277710.0,www.ahk.nl,Postbus,15079.0,1001 MB,AMSTERDAM,44.0,Amsterdam,20.0,Zuidelijk Noord-Holland,21.0,Agglomeratie Amsterdam,23.0,Groot-Amsterdam,15.0,Zuid-Noord-Holland,21.0,Agglomeratie Amsterdam,"{'street': 'Jodenbreestraat', 'postalcode': '1011 NG', 'city': 'AMSTERDAM', 'country': 'Netherlands'}","Jodenbreestraat, Uilenburg, Nieuwmarkt/Lastage, Centrum, Amsterdam, Noord-Holland, Nederland, 1011 NK, Nederland",52.369467,4.9014804
hbo,Noord-Holland,30327,21UG,Hogeschool IPABO Amsterdam Alkmaar,Jan Tooropstraat,136,1061 AD,AMSTERDAM,363.0,AMSTERDAM,Algemeen bijzonder,206137079.0,www.hs-ipabo.edu,Postbus,90506.0,1006 BM,AMSTERDAM,44.0,Amsterdam,20.0,Zuidelijk Noord-Holland,21.0,Agglomeratie Amsterdam,23.0,Groot-Amsterdam,15.0,Zuid-Noord-Holland,21.0,Agglomeratie Amsterdam,"{'street': 'Jan Tooropstraat', 'postalcode': '1061 AD', 'city': 'AMSTERDAM', 'country': 'Netherlands'}","Jan Tooropstraat, Overtoomse Veld, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1061 AC, Nederland",52.3658528,4.8364588
hbo,Noord-Holland,40331,28DN,Hogeschool van Amsterdam,Spui,21,1012 WX,AMSTERDAM,363.0,AMSTERDAM,Algemeen bijzonder,205953200.0,www.hva.nl,Postbus,1025.0,1000 BA,AMSTERDAM,44.0,Amsterdam,20.0,Zuidelijk Noord-Holland,21.0,Agglomeratie Amsterdam,23.0,Groot-Amsterdam,15.0,Zuid-Noord-Holland,21.0,Agglomeratie Amsterdam,"{'street': 'Spui', 'postalcode': '1012 WX', 'city': 'AMSTERDAM', 'country': 'Netherlands'}","Spui, Begijnhof, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 WV, Nederland",52.3687817,4.889683049062908
hbo,Overijssel,30041,00IC,Hogeschool KPZ,Ten Oeverstraat,68,8012 EW,ZWOLLE,193.0,ZWOLLE,Rooms-Katholiek,384217425.0,www.kpz.nl/,Ten Oeverstraat,68.0,8012 EW,ZWOLLE,18.0,Zwolle,6.0,IJssel en Vecht,10.0,IJssel-Vecht,10.0,Noord-Overijssel,5.0,Zwolle-Meppel en omstreken,10.0,IJssel-Vecht,"{'street': 'Ten Oeverstraat', 'postalcode': '8012 EW', 'city': 'ZWOLLE', 'country': 'Netherlands'}","Ten Oeverstraat, Assendorp, Zwolle, Overijssel, Nederland, 8012 EW, Nederland",52.5051662,6.1071922
hbo,Overijssel,30205,22HH,Stichting Hogeschool Viaa,Wethouder Alferinkweg,2,8012 GA,ZWOLLE,193.0,ZWOLLE,Protestants-Christelijk,384255542.0,www.viaa.nl,Postbus,10030.0,8000 GA,ZWOLLE,18.0,Zwolle,6.0,IJssel en Vecht,10.0,IJssel-Vecht,10.0,Noord-Overijssel,5.0,Zwolle-Meppel en omstreken,10.0,IJssel-Vecht,"{'street': 'Wethouder Alferinkweg', 'postalcode': '8012 GA', 'city': 'ZWOLLE', 'country': 'Netherlands'}","Wethouder Alferinkweg, Assendorp, Zwolle, Overijssel, Nederland, 8012 GA, Nederland",52.5087571,6.1029472
hbo,Overijssel,30780,23AH,Saxion Hogeschool,M.H. Tromplaan,28,7513 AB,ENSCHEDE,153.0,ENSCHEDE,Algemeen bijzonder,534871111.0,www.saxion.nl,Postbus,70000.0,7500 KB,ENSCHEDE,22.0,Enschede,7.0,Twente,12.0,Twente,12.0,Twente,6.0,Twente,12.0,Twente,"{'street': 'M.H. Tromplaan', 'postalcode': '7513 AB', 'city': 'ENSCHEDE', 'country': 'Netherlands'}","Maarten Harpertsz Tromplaan, Stadsmaten, Enschede, Overijssel, Nederland, 7513 AB, Nederland",52.2198058,6.8860505
hbo,Overijssel,42609,01VU,Christelijke Hogeschool Windesheim,Campus,02/Jun,8017 CA,ZWOLLE,193.0,ZWOLLE,Protestants-Christelijk,384699911.0,www.windesheim.nl/,Postbus,10090.0,8000 GB,ZWOLLE,18.0,Zwolle,6.0,IJssel en Vecht,10.0,IJssel-Vecht,10.0,Noord-Overijssel,5.0,Zwolle-Meppel en omstreken,10.0,IJssel-Vecht,"{'street': 'Campus', 'postalcode': '8017 CA', 'city': 'ZWOLLE', 'country': 'Netherlands'}","Campus, Zwolle, Overijssel, Nederland, 8017 CB, Nederland",52.4989617,6.0813704
hbo,Utrecht,28901,00MF,Hogeschool voor de Kunsten Utrecht,Nieuwekade,1,3511 RV,UTRECHT,344.0,UTRECHT,Algemeen bijzonder,302091509.0,www.hku.nl,Postbus,1520.0,3500 BM,UTRECHT,36.0,Utrecht,18.0,Utrecht-Midden,19.0,Utrecht,17.0,Utrecht,13.0,Utrecht en omstreken,19.0,Utrecht,"{'street': 'Nieuwekade', 'postalcode': '3511 RV', 'city': 'UTRECHT', 'country': 'Netherlands'}","Nieuwekade, Wijk C, Utrecht, Nederland, 3513 BB, Nederland",52.0957156,5.1110748
hbo,Utrecht,40516,25DW,Hogeschool Utrecht,Padualaan,99,3584 CH,UTRECHT,344.0,UTRECHT,Algemeen bijzonder,302388898.0,www.hu.nl,Postbus,573.0,3500 AN,UTRECHT,36.0,Utrecht,18.0,Utrecht-Midden,19.0,Utrecht,17.0,Utrecht,13.0,Utrecht en omstreken,19.0,Utrecht,"{'street': 'Padualaan', 'postalcode': '3584 CH', 'city': 'UTRECHT', 'country': 'Netherlands'}","Padualaan, Utrecht, Nederland, 3584 CH, Nederland",52.0847009,5.1693229
hbo,Utrecht,72230,10IZ,Marnix Academie,Vogelsanglaan,1,3571 ZM,UTRECHT,344.0,UTRECHT,Protestants-Christelijk,302753400.0,www.marnixacademie.nl,Postbus,85002.0,3508 AA,UTRECHT,36.0,Utrecht,18.0,Utrecht-Midden,19.0,Utrecht,17.0,Utrecht,13.0,Utrecht en omstreken,19.0,Utrecht,"{'street': 'Vogelsanglaan', 'postalcode': '3571 ZM', 'city': 'UTRECHT', 'country': 'Netherlands'}","Vogelsanglaan, Zeeheldenbuurt, Utrecht, Nederland, 3571 ZM, Nederland",52.1032889,5.134102
hbo,Zeeland,30246,21MI,HZ University of Applied Sciences,Edisonweg,4,4382 NW,VLISSINGEN,718.0,VLISSINGEN,Algemeen bijzonder,118489000.0,www.hz.nl,Postbus,364.0,4380 AJ,VLISSINGEN,59.0,Middelburg,24.0,Zeeland,32.0,Walcheren,32.0,Overig Zeeland,19.0,Zeeland,32.0,Walcheren,"{'street': 'Edisonweg', 'postalcode': '4382 NW', 'city': 'VLISSINGEN', 'country': 'Netherlands'}","Edisonweg, Vlissingen, Zeeland, Nederland, 4382 WZ, Nederland",51.45404,3.5924635
hbo,Zuid-Holland,24832,14NI,Codarts,,,,,,,,,,,,,,,,,,,,,,,,,,"{'street': nan, 'postalcode': nan, 'city': nan, 'country': 'Netherlands'}",,,
hbo,Zuid-Holland,30163,21RI,Hogeschool Leiden,Zernikedreef,11,2333 CK,LEIDEN,546.0,LEIDEN,Samenwerking PC,,,,,,,,,,,,,,,,,,,"{'street': 'Zernikedreef', 'postalcode': '2333 CK', 'city': 'LEIDEN', 'country': 'Netherlands'}","Zernikedreef, Leiden Bio Science Park, Leiden, Zuid-Holland, Nederland, 2333 CK, Nederland",52.1665545,4.4721168
hbo,Zuid-Holland,30299,22OJ,Hogeschool Rotterdam,Museumpark,40,3015 CX,ROTTERDAM,599.0,ROTTERDAM,Algemeen bijzonder,107940000.0,www.hogeschoolrotterdam.nl,Postbus,25035.0,3001 HA,ROTTERDAM,54.0,Rotterdam,23.0,Rijnmond,29.0,Rijnmond,29.0,Groot-Rijnmond,17.0,Rijnmond groot,29.0,Rijnmond,"{'street': 'Museumpark', 'postalcode': '3015 CX', 'city': 'ROTTERDAM', 'country': 'Netherlands'}","Museumpark, Dijkzigt, Centrum, Rotterdam, Zuid-Holland, Nederland, 3015 CB, Nederland",51.9146784,4.4733171
